dias;tesouroUS;eurodolar;prata ;euroyen;ouro;libra;eurolibra;aluminio;gas;microouro;cobre;dolaraustralia
1;0;0;0;0;0;0;0;0;0;0;0;0
2;-0.007198;-0.000609;0.000555;0.000165;0;-0.004327;0.000984;0.00864;0.039425;-0.000199;0.006035;-0.003763
3;-0.009994;-0.000762;-0.027645;-0.000248;-0.018037;0.000233;-0.005901;0.001105;0.014534;-0.018133;0.010499;0.001453
4;0.006928;0.000406;0.002398;-0.002316;0.006348;-0.002405;0.002677;-0.00138;-0.01188;0.006336;-0.012616;-0.001886
5;-0.014547;-0.001371;-0.033489;0.001575;-0.017447;-0.002566;0.000406;0.004146;-0.019802;-0.017882;0.023675;0.003052
6;-0.001596;0.000153;-0.011019;-0.003642;-0.001981;-0.002963;0.000754;0.000963;0.006133;-0.002387;-0.016887;-0.00652
7;0.000599;-0.000102;-0.001251;-0.000249;-0.003969;0.005474;-0.00458;-0.013337;-0.0545;-0.003965;-0.006721;-0.000292
8;0.003195;0.000356;-0.005071;-0.002659;-0.002336;0.000156;-0.002213;-0.007386;-0.006068;-0.002333;-0.006767;-0.001313
9;0.003981;0.000559;0.013252;-0.002583;0.006611;-0.0014;0.000409;-0.005756;-0.008012;0.006604;-0.002082;-0.002045
10;0.006542;0.00061;0.006805;-0.001838;0.00691;0.002726;-0.000992;-0.011296;0.018077;0.006902;-0.006827;-0.006879
11;-0.002167;-0.000203;-0.004702;0.006862;-0.003057;0.002097;0.000584;0.001999;0.015489;-0.003326;0.006301;0.004127
12;0.002961;0.000406;0.003071;0.000416;0.002453;0.00372;-0.002521;-0.00114;-0.045387;0.002315;-0.006641;-0.001174
13;0.003543;0.000305;0.006947;-0.000748;0.001632;-0.002316;0.005044;-0.003567;-0.021824;0.001631;0.013754;0.003821
14;0.00608;0.000355;-0.000175;0.000083;0;0.000774;-0.00163;0.007303;0.019522;-0.000068;-0.002638;-0.004538
15;-0.003704;-0.000304;-0.002924;-0.000748;-0.006923;-0.001547;0.000408;-0.002559;0.003126;-0.00719;-0.009635;-0.001765
